File,Total Time,Coding %,Debugging %,Testing %,FC% Flow Complexity,OV% Object Vocabulary,OC% Object Conjuration,AI% Arithmetic Intricacy,DT% Data Transfer,ID% Inline Data,CS% Code Structure,CM% Comments,CCR Code to Comment Ratio,ECF Essential Comment Factor,CSM Code Structure Modularity,LD Logic Density,SDE Source Divergence Entropy,IDF Information Diversity Factor,OCF Object Convolution Factor,LLOC Logical Lines of Code,Multi Line Comments,Single Line Comments,High Quality Comments,Strings,Numeric Constants,Code Nature,Quality Notes Count,Quality Notes Detail,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\evaluation\correlation.java,1,89,9,2,4,53,18,8,2,3,11,0,0,0,166,44,27,233,23,8,0,0,0,7,0,Algorithmic Oriented,1,* Code structure may be too fragmented. 
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Bike.java,2,89,9,2,3,51,22,5,5,1,13,0,0,0,205,40,31,310,23,24,0,0,0,5,0,Normal,2,* Needs more comments. * Code structure may be too fragmented. 
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\ClassificationCrossValidationExample.java,3,91,8,2,0,60,11,11,6,2,6,4,68,275,85,93,41,133,22,15,2,9,11,10,5,Algorithmic Oriented,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Connect.java,7,88,10,2,21,40,18,3,7,1,9,1,12,35,150,55,35,333,25,55,1,6,7,24,1,Normal,1,* Needs more comments. 
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Customer.java,1,88,10,2,11,58,16,0,5,0,10,0,0,0,195,30,30,200,23,12,0,0,0,1,0,Normal,1,* Code structure may be too fragmented. 
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\Employee.java,2,89,9,2,3,62,18,0,5,0,11,0,4,9,200,21,26,208,20,22,0,1,1,1,0,Normal,2,* Needs more comments. * Code structure may be too fragmented. 
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\EmployeeMap.java,1,89,9,2,10,65,13,0,4,0,8,0,0,0,192,37,40,140,26,7,0,0,0,1,0,Normal,1,* Code structure may be too fragmented. 
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\HashMapTest2.java,6,89,9,2,10,63,14,0,7,0,6,0,0,0,132,50,39,162,30,29,0,0,0,7,0,Normal,1,* Needs more comments. 
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\JAXBTest.java,2,90,9,2,6,70,10,0,6,1,7,0,0,0,142,43,37,107,18,15,0,0,0,2,2,Normal,0,
C:\Users\Jan\Dropbox\Settings\Eclipse\QuickAndDirt\src\examples\LoadingDataSetExample.java,4,88,10,2,22,41,15,7,7,1,7,0,7,25,80,80,42,269,26,25,2,0,2,12,3,Algorithmic Oriented,1,* Needs more comments. 
